Card Set,Card Number,Athlete,Team,Sequence
Base,1,Jackie Young,Las Vegas Aces,
Base,2,Haley Jones,Atlanta Dream,
Base,3,Aliyah Boston,Indiana Fever,
Base,4,Jacy Sheldon,Dallas Wings,
Base,5,Betnijah Laney-Hamilton,New York Liberty,
Base,6,Isabelle Harrison,Chicago Sky,
Base,7,Elena Delle Donne,Washington Mystics,
Base,8,Diamond DeShields,Chicago Sky,
Base,9,Joyner Holmes,Seattle Storm,
Base,10,Angel Reese,Chicago Sky,
Base,11,Natasha Cloud,Phoenix Mercury,
Base,12,Kristi Toliver,Washington Mystics,
Base,13,Kayla McBride,Minnesota Lynx,
Base,14,Jonquel Jones,New York Liberty,
Base,15,Ruthie Bolton,Sacramento Monarchs,
Base,16,Lexie Hull,Indiana Fever,
Base,17,Sabrina Ionescu,New York Liberty,
Base,18,Natisha Hiedeman,Minnesota Lynx,
Base,19,Dearica Hamby,Los Angeles Sparks,
Base,20,Myisha Hines-Allen,Minnesota Lynx,
Base,21,Cynthia Cooper-Dyke,Houston Comets,
Base,22,Caitlin Clark,Indiana Fever,
Base,23,Li Yueru,Los Angeles Sparks,
Base,24,Elizabeth Williams,Chicago Sky,
Base,25,Rachel Banham,Chicago Sky,
Base,26,Napheesa Collier,Minnesota Lynx,
Base,27,Brionna Jones,Connecticut Sun,
Base,28,Arike Ogunbowale,Dallas Wings,
Base,29,Kalani Brown,Dallas Wings,
Base,30,Leonie Fiebich,New York Liberty,
Base,31,Jaelyn Brown,Dallas Wings,
Base,32,Cappie Pondexter,New York Liberty,
Base,33,Jaylyn Sherrod,New York Liberty,
Base,34,Stefanie Dolson,Washington Mystics,
Base,35,Veronica Burton,Connecticut Sun,
Base,36,Tina Charles,Atlanta Dream,
Base,37,Aerial Powers,Atlanta Dream,
Base,38,Maya Caldwell,Indiana Fever,
Base,39,Rhyne Howard,Atlanta Dream,
Base,40,Tamika Catchings,Indiana Fever,
Base,41,Marine Johannes,New York Liberty,
Base,42,Julie Vanloo,Washington Mystics,
Base,43,Satou Sabally,Dallas Wings,
Base,44,Alyssa Thomas,Connecticut Sun,
Base,45,Marquesha Davis,New York Liberty,
Base,46,Zia Cooke,Los Angeles Sparks,
Base,47,Stephanie Soares,Dallas Wings,
Base,48,Celeste Taylor,Phoenix Mercury,
Base,49,Jewell Loyd,Seattle Storm,
Base,50,Ezi Magbegor,Seattle Storm,
Base,51,Sug Sutton,Washington Mystics,
Base,52,Nneka Ogwumike,Seattle Storm,
