CARD SET,CARD NUMBER,ATHLETE,TEAM,SEQUENCE
1997 Pinnacle WNBA Executive Collection Retro,1,Rhyne Howard,Atlanta Dream,
1997 Pinnacle WNBA Executive Collection Retro,2,Kelsey Plum,Los Angeles Sparks,
1997 Pinnacle WNBA Executive Collection Retro,3,Caitlin Clark,Indiana Fever,
1997 Pinnacle WNBA Executive Collection Retro,4,Jewell Loyd,Las Vegas Aces,
1997 Pinnacle WNBA Executive Collection Retro,5,Breanna Stewart,New York Liberty,
1997 Pinnacle WNBA Executive Collection Retro,6,Paige Bueckers,Dallas Wings,
1997 Pinnacle WNBA Executive Collection Retro,7,Lisa Leslie,Los Angeles Sparks,
1997 Pinnacle WNBA Executive Collection Retro,8,Kate Martin,Golden State Valkyries,
1997 Pinnacle WNBA Executive Collection Retro,9,Napheesa Collier,Minnesota Lynx,
1997 Pinnacle WNBA Executive Collection Retro,10,Cameron Brink,Los Angeles Sparks,
1997 Pinnacle WNBA Executive Collection Retro,11,Sue Bird,Seattle Storm,
1997 Pinnacle WNBA Executive Collection Retro,12,Maya Moore,Minnesota Lynx,
1997 Pinnacle WNBA Executive Collection Retro,13,A'ja Wilson,Las Vegas Aces,
1997 Pinnacle WNBA Executive Collection Retro,14,Angel Reese,Chicago Sky,
1997 Pinnacle WNBA Executive Collection Retro,15,Sabrina Ionescu,New York Liberty,
Base,1,Aliyah Boston,Indiana Fever,
Base,2,Cameron Brink,Los Angeles Sparks,
Base,3,Sami Whitcomb,Phoenix Mercury,
Base,4,Bridget Carleton,Minnesota Lynx,
Base,5,Haley Jones,Atlanta Dream,
Base,6,Kia Nurse,Chicago Sky,
Base,7,Leonie Fiebich,New York Liberty,
Base,8,Natasha Cloud,New York Liberty,
Base,9,Sydney Colson,Indiana Fever,
Base,10,Alyssa Thomas,Phoenix Mercury,
Base,11,Nneka Ogwumike,Seattle Storm,
Base,12,Kelsey Plum,Los Angeles Sparks,
Base,13,Marina Mabrey,Connecticut Sun,
Base,14,Diana Taurasi,Phoenix Mercury,
Base,15,Jordan Horston,Seattle Storm,
Base,16,Aaliyah Edwards,Washington Mystics,
Base,17,Diamond Miller,Minnesota Lynx,
Base,18,Jordin Canada,Atlanta Dream,
Base,19,Kelsey Mitchell,Indiana Fever,
Base,20,Maddy Siegrist,Dallas Wings,
Base,21,Veronica Burton,Golden State Valkyries,
Base,22,Shakira Austin,Washington Mystics,
Base,23,Jewell Loyd,Las Vegas Aces,
Base,24,Sophie Cunningham,Indiana Fever,
Base,25,Napheesa Collier,Minnesota Lynx,
Base,26,Skylar Diggins,Seattle Storm,
Base,27,DiJonai Carrington,Dallas Wings,
Base,28,Kayla McBride,Minnesota Lynx,
Base,29,Julie Vanloo,Golden State Valkyries,
Base,30,Stefanie Dolson,Washington Mystics,
Base,31,Alissa Pili,Minnesota Lynx,
Base,32,Kamilla Cardoso,Chicago Sky,
Base,33,Jacy Sheldon,Connecticut Sun,
Base,34,Courtney Vandersloot,Chicago Sky,
Base,35,Dorka Juhasz,Minnesota Lynx,
Base,36,Megan Gustafson,Las Vegas Aces,
Base,37,Dana Evans,Las Vegas Aces,
Base,38,Chelsea Gray,Las Vegas Aces,
Base,39,Arike Ogunbowale,Dallas Wings,
Base,40,Kayla Thornton,Golden State Valkyries,
Base,41,Brittney Sykes,Washington Mystics,
Base,42,Aerial Powers,Atlanta Dream,
Base,43,Dearica Hamby,Los Angeles Sparks,
Base,44,DeWanna Bonner,Indiana Fever,
Base,45,Ezi Magbegor,Seattle Storm,
Base,46,Monique Billings,Golden State Valkyries,
Base,47,Caitlin Clark,Indiana Fever,
Base,48,NaLyssa Smith,Dallas Wings,
Base,49,Rickea Jackson,Los Angeles Sparks,
Base,50,Karlie Samuelson,Minnesota Lynx,
Base,51,Kahleah Copper,Phoenix Mercury,
Base,52,Tina Charles,Connecticut Sun,
Base,53,Katie Lou Samuelson,Seattle Storm,
Base,54,Kate Martin,Golden State Valkyries,
Base,55,Satou Sabally,Phoenix Mercury,
Base,56,Allisha Gray,Atlanta Dream,
Base,57,Teaira McCowan,Dallas Wings,
Base,58,Temi Fagbenle,Golden State Valkyries,
Base,59,Betnijah Laney-Hamilton,New York Liberty,
Base,60,Jackie Young,Las Vegas Aces,
Base,61,Alysha Clark,Seattle Storm,
Base,62,Brittney Griner,Atlanta Dream,
Base,63,Breanna Stewart,New York Liberty,
Base,64,Brionna Jones,Atlanta Dream,
Base,65,Myisha Hines-Allen,Dallas Wings,
Base,66,Elizabeth Kitley,Las Vegas Aces,
Base,67,Nyara Sabally,New York Liberty,
Base,68,Alanna Smith,Minnesota Lynx,
Base,69,Zia Cooke,Seattle Storm,
Base,70,Courtney Williams,Minnesota Lynx,
Base,71,Angel Reese,Chicago Sky,
Base,72,Natisha Hiedeman,Minnesota Lynx,
